CD_REFNIS,AGE_MEDIAN,TX_DESCR_NL,TX_DESCR_FR
41082,45,Erpe-Mere,Erpe-Mere
42000,43,Arrondissement Dendermonde,Arrondissement de Termonde
42003,45,Berlare,Berlare
42004,45,Buggenhout,Buggenhout
42006,44,Dendermonde,Termonde
42008,42,Hamme (Dendermonde),Hamme (Termonde)
42010,46,Laarne,Laarne
42011,43,Lebbeke,Lebbeke
42023,45,Waasmunster,Waasmunster
42025,43,Wetteren,Wetteren
42026,44,Wichelen,Wichelen
42028,41,Zele,Zele
43000,45,Arrondissement Eeklo,Arrondissement d’Eeklo
43002,45,Assenede,Assenede
43005,45,Eeklo,Eeklo
43007,45,Kaprijke,Kaprijke
43010,45,Maldegem,Maldegem
43014,46,Sint-Laureins,Sint-Laureins
43018,43,Zelzate,Zelzate
44000,40,Arrondissement Gent,Arrondissement de Gand
44012,46,De Pinte,De Pinte
44013,45,Destelbergen,Destelbergen
44019,44,Evergem,Evergem
44020,45,Gavere,Gavere
44021,37,Gent,Gand
44034,44,Lochristi,Lochristi
44040,41,5,Melle,Melle
44043,43,Merelbeke,Merelbeke
44045,42,Moerbeke (Gent),Moerbeke (Gand)
44048,45,Nazareth,Nazareth
44052,43,Oosterzele,Oosterzele
44064,49,Sint-Martens-Latem,Sint-Martens-Latem
44073,44,Wachtebeke,Wachtebeke
44081,42,Zulte,Zulte
44083,43,Deinze,Deinze
44084,44,Aalter,Aalter
44085,46,Lievegem,Lievegem
45000,43,Arrondissement Oudenaarde,Arrondissement d’Audenarde
45035,44,Oudenaarde,Audenarde
45041,40,Ronse,Renaix
45059,45,Brakel,Brakel
45060,42,Kluisbergen,Kluisbergen
45061,43,Wortegem-Petegem,Wortegem-Petegem
45062,48,Horebeke,Horebeke
45063,44,Lierde,Lierde
45064,47,Maarkedal,Maarkedal
45065,45,Zwalm,Zwalin
45068,43,Kruisem,Kruisem
46000,42,Arrondissement Sint-Niklaas,Arrondissement de Saint-Nicolas
46003,44,Beveren (Sint-Niklaas),Beveren (Saint-Nicolas)
46013,43,Kruibeke,Kruibeke
46014,40,Lokeren,Lokeren
46020,43,Sint-Gillis-Waas,Sint-Gillis-Waas
46021,41,Sint-Niklaas (Sint-Niklaas),Saint-Nicolas (Saint-Nicolas)
46024,44,Stekene,Stekene
46025,42,Temse,Tamise
50000,41,Provincie Henegouwen,Province du Hainaut
51000,42,Arrondissement Aat,Arrondissement d’Ath
51004,43,Aat,Ath
51008,41,Beloeil,Beloeil
51009,42,Bernissart,Bernissart
51012,39,Brugelette,Brugelette
51014,41,Chièvres,Chièvres
51017,44,Elzele,Ellezelles
51019,44,Vloesberg,Flobecq
51065,43,Frasnes-lez-Anvaing,Frasnes-lez-Anvaing
51067,42,Edingen,Enghien
51068,44,Opzullik,Silly
51069,42,Lessen,Lessines
52000,40,Arrondissement Charleroi,Arrondissement de Charleroi
52010,42,Chapelle-lez-Herlaimont,Chapelle-lez-Herlaimont
52011,39,Charleroi,Charleroi
52012,41,Châtelet,Châtelet
52015,40,Courcelles,Courcelles
52018,38,Farciennes,Farciennes
52021,42,Fleurus,Fleurus
52022,41,Fontaine-l’Evêque,Fontaine-l’Evêque
52025,47,Gerpinnes,Gerpinnes
52048,47,Montigny-le-Tilleul,Montigny-le-Tilleul
52055,41,Pont-à-Celles,Pont-à-Celles
52074,42,Aiseau-Presles,Aiseau-Presles
52075,42,Les Bons Villers,Les Bons Villers
53000,41,Arrondissement Bergen,Arrondissement de Mons
53014,42,Boussu,Boussu
53020,41,Dour,Dour
53028,41,Frameries,Frameries
53039,42,Hensies,Hensies
53044,43,Jurbeke,Jurbise
53046,39,Lens,Lens
53053,40,Bergen,Mons
53065,41,Quaregnon,Quaregnon
53068,41,Quiévrain,Quiévrain
53070,43,Saint-Ghislain,Saint-Ghislain
53082,38,Colfontaine,Colfontaine
53083,44,Honnelles,Honnelles
53084,43,Quévy,Quévy
55000,41,Arrondissement Zinnik,Arrondissement de Soignies
55004,41,’s Gravenbrakel,Braine-le-Comte
55035,42,Le Roeulx,Le Roeulx
55040,42,Zinnik,Soignies
55050,40,Ecaussinnes,Ecaussinnes
55085,41,Seneffe,Seneffe
55086,40,Manage,Manage
56000,43,Arrondissement Thuin,Arrondissement de Thuin
56001,41,Anderlues,Anderlues
56005,42,Beaumont,Beaumont
56016,44,Chimay,Chimay
56022,40,Erquelinnes,Erquelinnes
56029,44,Froidchapelle,Froidchapelle
56044,43,Lobbes,Lobbes
56049,41,Merbes-le-Château,Merbes-le-Château
56051,41,Momignies,Momignies
56078,45,Thuin,Thuin
56086,46,Ham-sur-Heure-Nalinnes,Ham-sur-Heure-Nalinnes
56088,43,Sivry-Rance,Sivry-Rance
57000,42,Arrondissement Doornik-Moeskroen,Arrondissement de Tournai-Mouscron
57003,42,Antoing,Antoing
