CD_REFNIS,MALE,FEMALE,TOTAL,TX_DESCR_NL,TX_DESCR_FR
25043,2700,2787,5487,Incourt,Incourt
25044,3355,3534,6889,Itter,Ittre
25048,6913,7210,14123,Geldenaken,Jodoigne
25050,3545,3798,7343,Terhulpen,La Hulpe
25068,3819,3952,7771,Mont-Saint-Guibert,Mont-Saint-Guibert
25072,13653,15081,28734,Nijvel,Nivelles
25084,4498,4805,9303,Perwijs (Nijvel),Perwez (Nivelles)
25091,10731,11827,22558,Rixensart,Rixensart
25105,12815,13418,26233,Tubeke,Tubize
25107,5305,5397,10702,Villers-la-Ville,Villers-la-Ville
25110,14356,15972,30328,Waterloo,Waterloo
25112,16505,17891,34396,Waver,Wavre
25117,3794,3853,7647,Chastre,Chastre
25118,1771,1782,3553,Hélécine,Hélécine
25119,6974,7270,14244,Lasne,Lasne
25120,4364,4560,8924,Orp-Jauche,Orp-Jauche
25121,15308,16135,31443,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve
25122,3271,3251,6522,Ramillies,Ramillies
25123,5439,5540,10979,Rebecq,Rebecq
25124,3568,3619,7187,Walhain,Walhain
30000,592693,603103,1195796,Provincie West-Vlaanderen,Province de Flandre occidentale
31000,138831,143378,282209,Arrondissement Brugge,Arrondissement de Bruges
31003,8046,7717,15763,Beernem,Beernem
31004,10058,10378,20436,Blankenberge,Blankenberge
31005,57598,60727,118325,Brugge,Bruges
31006,5476,5517,10993,Damme,Damme
31012,6878,6987,13865,Jabbeke,Jabbeke
31022,11805,11893,23698,Oostkamp,Oostkamp
31033,10260,10203,20463,Torhout,Torhout
31040,11384,11435,22819,Zedelgem,Zedelgem
31042,1374,1347,2721,Zuienkerke,Zuienkerke
31043,15952,17174,33126,Knokke-Heist,Knokke-Heist
32000,25785,25740,51525,Arrondissement Diksmuide,Arrondissement de Dixmude
32003,8376,8367,16743,Diksmuide,Dixmude
32006,5068,5030,10098,Houthulst,Houthulst
32010,4398,4379,8777,Koekelare,Koekelare
32011,6300,6316,12616,Kortemark,Kortemark
32030,1643,1648,3291,Lo-Reninge,Lo-Reninge
33000,53153,53126,106279,Arrondissement Ieper,Arrondissement d’Ypres
33011,17140,17705,34845,Ieper,Ypres
33016,536,529,1065,Mesen,Messines
33021,9812,9890,19702,Poperinge,Poperinge
33029,9434,9333,18767,Wervik,Wervik
33037,6284,6197,12481,Zonnebeke,Zonnebeke
33039,4064,3845,7909,Heuvelland,Heuvelland
33040,3999,3820,7819,Langemark-Poelkapelle,Langemark-Poelkapelle
33041,1884,1807,3691,Vleteren,Vleteren
34000,143783,146923,290706,Arrondissement Kortrijk,Arrondissement de Courtrai
34002,7387,7329,14716,Anzegem,Anzegem
34003,5015,5143,10158,Avelgem,Avelgem
34009,5904,6042,11946,Deerlijk,Deerlijk
34013,14110,14048,28158,Harelbeke,Harelbeke
34022,37804,38931,76735,Kortrijk,Courtrai
34023,6666,6818,13484,Kuurne,Kuurne
34025,2834,2913,5747,Lendelede,Lendelede
34027,16492,16893,33385,Menen,Menin
34040,18845,19421,38266,Waregem,Waregem
34041,15518,15888,31406,Wevelgem,Wevelgem
34042,12222,12434,24656,Zwevegem,Zwevegem
34043,986,1063,2049,Spiere-Helkijn,Espierres-Helchin
35000,77636,79564,157200,Arrondissement Oostende,Arrondissement d’Ostende
35002,9030,9065,18095,Bredene,Bredene
35005,6053,6125,12178,Gistel,Gistel
35006,7050,7000,14050,Ichtegem,Ichtegem
35011,9585,9751,19336,Middelkerke,Middelkerke
35013,35040,36454,71494,Oostende,Ostende
35014,4700,4681,9381,Oudenburg,Oudenburg
35029,6178,6488,12666,De Haan,De Haan
36000,76410,76905,153315,Arrondissement Roeselare,Arrondissement de Roulers
36006,5039,4948,9987,Hooglede,Hooglede
36007,5438,5558,10996,Ingelmunster,Ingelmunster
36008,13795,14223,28018,Izegem,Izegem
36010,4856,4839,9695,Ledegem,Ledegem
36011,4492,4434,8926,Lichtervelde,Lichtervelde
36012,5610,5640,11250,Moorslede,Moorslede
36015,31394,31560,62954,Roeselare,Roulers
36019,5786,5703,11489,Staden,Staden
37000,46624,46281,92905,Arrondissement Tielt,Arrondissement de Tielt
37002,4288,4267,8555,Dentergem,Dentergem
37007,5456,5404,10860,Meulebeke,Meulebeke
37010,3924,4008,7932,Oostrozebeke,Oostrozebeke
37011,3420,3318,6738,Pittem,Pittem
37012,2678,2680,5358,Ruiselede,Ruiselede
37015,10227,10275,20502,Tielt (Tielt),Tielt (Tielt)
37017,4874,4767,9641,Wielsbeke,Wielsbeke
37018,7243,7020,14263,Wingene,Wingene
37020,4514,4542,9056,Ardooie,Ardooie
38000,30471,31186,61657,Arrondissement Veurne,Arrondissement de Furnes
38002,2594,2453,5047,Alveringem,Alveringem
38008,5497,5679,11176,De Panne,La Panne
38014,10795,11115,21910,Koksijde,Koksijde
38016,5714,5907,11621,Nieuwpoort,Nieuport
38025,5871,6032,11903,Veurne,Furnes
40000,748309,766755,1515064,Provincie Oost-Vlaanderen,Province de Flandre orientale
41000,143049,148180,291229,Arrondissement Aalst,Arrondissement d’Alost
41002,42423,44022,86445,Aalst (Aalst),Alost (Alost)
41011,9962,10376,20338,Denderleeuw,Denderleeuw
41018,16460,16979,33439,Geraardsbergen,Grammont
41024,9174,9459,18633,Haaltert,Haaltert
41027,8893,9134,18027,Herzele,Herzele
41034,9235,9466,18701,Lede,Lede
41048,19069,19842,38911,Ninove,Ninove
41063,5113,5229,10342,Sint-Lievens-Houtem,Sint-Lievens-Houtem
41081,12909,13673,26582,Zottegem,Zottegem
41082,9811,10000,19811,Erpe-Mere,Erpe-Mere
42000,99088,102125,201213,Arrondissement Dendermonde,Arrondissement de Termonde
42003,7368,7590,14958,Berlare,Berlare
42004,7170,7347,14517,Buggenhout,Buggenhout
42006,22324,23445,45769,Dendermonde,Termonde
42008,12337,12528,24865,Hamme (Dendermonde),Hamme (Termonde)
42010,6108,6262,12370,Laarne,Laarne
42011,9517,9804,19321,Lebbeke,Lebbeke
