CD_REFNIS,MS_SEX,<65 year,>=65year,TOTAL,,TX_DESCR_FR
13023,TOTAL,7040,1560,8600,Merksplas,Merksplas
13023,MAN,3616,769,4385,Merksplas,Merksplas
13023,VROUW,3424,791,4215,Merksplas,Merksplas
13025,TOTAL,29354,7471,36825,Mol,Mol
13025,MAN,14859,3449,18308,Mol,Mol
13025,VROUW,14495,4022,18517,Mol,Mol
13029,TOTAL,10197,2308,12505,Olen,Olen
13029,MAN,5177,1082,6259,Olen,Olen
13029,VROUW,5020,1226,6246,Olen,Olen
13031,TOTAL,10556,3106,13662,Oud-Turnhout,Oud-Turnhout
13031,MAN,5346,1489,6835,Oud-Turnhout,Oud-Turnhout
13031,VROUW,5210,1617,6827,Oud-Turnhout,Oud-Turnhout
13035,TOTAL,12076,2933,15009,Ravels,Ravels
13035,MAN,6146,1423,7569,Ravels,Ravels
13035,VROUW,5930,1510,7440,Ravels,Ravels
13036,TOTAL,9173,2223,11396,Retie,Retie
13036,MAN,4659,1089,5748,Retie,Retie
13036,VROUW,4514,1134,5648,Retie,Retie
13037,TOTAL,9837,2223,12060,Rijkevorsel,Rijkevorsel
13037,MAN,5021,1069,6090,Rijkevorsel,Rijkevorsel
13037,VROUW,4816,1154,5970,Rijkevorsel,Rijkevorsel
13040,TOTAL,35980,8684,44664,Turnhout,Turnhout
13040,MAN,18325,3923,22248,Turnhout,Turnhout
13040,VROUW,17655,4761,22416,Turnhout,Turnhout
13044,TOTAL,6285,1576,7861,Vorselaar,Vorselaar
13044,MAN,3197,741,3938,Vorselaar,Vorselaar
13044,VROUW,3088,835,3923,Vorselaar,Vorselaar
13046,TOTAL,9035,2152,11187,Vosselaar,Vosselaar
13046,MAN,4556,1012,5568,Vosselaar,Vosselaar
13046,VROUW,4479,1140,5619,Vosselaar,Vosselaar
13049,TOTAL,19726,5325,25051,Westerlo,Westerlo
13049,MAN,10004,2552,12556,Westerlo,Westerlo
13049,VROUW,9722,2773,12495,Westerlo,Westerlo
13053,TOTAL,12779,3322,16101,Laakdal,Laakdal
13053,MAN,6486,1597,8083,Laakdal,Laakdal
13053,VROUW,6293,1725,8018,Laakdal,Laakdal
20001,TOTAL,925490,220685,1146175,Provincie Vlaams-Brabant,Province du Brabant flamand
20001,MAN,464045,97969,562014,Provincie Vlaams-Brabant,Province du Brabant flamand
20001,VROUW,461445,122716,584161,Provincie Vlaams-Brabant,Province du Brabant flamand
20002,TOTAL,326915,76684,403599,Provincie Waals-Brabant,Province du Brabant wallon
20002,MAN,162761,33155,195916,Provincie Waals-Brabant,Province du Brabant wallon
20002,VROUW,164154,43529,207683,Provincie Waals-Brabant,Province du Brabant wallon
21000,TOTAL,1049873,158669,1208542,Arrondissement Brussel-Hoofdstad,Arrondissement de Bruxelles-Capitale
21000,MAN,527844,64585,592429,Arrondissement Brussel-Hoofdstad,Arrondissement de Bruxelles-Capitale
21000,VROUW,522029,94084,616113,Arrondissement Brussel-Hoofdstad,Arrondissement de Bruxelles-Capitale
21001,TOTAL,104496,15218,119714,Anderlecht,Anderlecht
21001,MAN,53410,6223,59633,Anderlecht,Anderlecht
21001,VROUW,51086,8995,60081,Anderlecht,Anderlecht
21002,TOTAL,28431,5582,34013,Oudergem,Auderghem
21002,MAN,14071,2135,16206,Oudergem,Auderghem
21002,VROUW,14360,3447,17807,Oudergem,Auderghem
21003,TOTAL,21314,3865,25179,Sint-Agatha-Berchem,Berchem-Sainte-Agathe
21003,MAN,10555,1635,12190,Sint-Agatha-Berchem,Berchem-Sainte-Agathe
21003,VROUW,10759,2230,12989,Sint-Agatha-Berchem,Berchem-Sainte-Agathe
21004,TOTAL,161641,20085,181726,Brussel,Bruxelles
21004,MAN,84024,8744,92768,Brussel,Bruxelles
21004,VROUW,77617,11341,88958,Brussel,Bruxelles
21005,TOTAL,43079,5288,48367,Etterbeek,Etterbeek
21005,MAN,21152,2110,23262,Etterbeek,Etterbeek
21005,VROUW,21927,3178,25105,Etterbeek,Etterbeek
21006,TOTAL,35110,6653,41763,Evere,Evere
21006,MAN,17405,2476,19881,Evere,Evere
21006,VROUW,17705,4177,21882,Evere,Evere
21007,TOTAL,48774,7515,56289,Vorst (Brussel-Hoofdstad),Forest (Bruxelles-Capitale)
21007,MAN,24273,3015,27288,Vorst (Brussel-Hoofdstad),Forest (Bruxelles-Capitale)
21007,VROUW,24501,4500,29001,Vorst (Brussel-Hoofdstad),Forest (Bruxelles-Capitale)
21008,TOTAL,20676,4226,24902,Ganshoren,Ganshoren
21008,MAN,10295,1612,11907,Ganshoren,Ganshoren
21008,VROUW,10381,2614,12995,Ganshoren,Ganshoren
21009,TOTAL,77195,9681,86876,Elsene,Ixelles
21009,MAN,38484,4026,42510,Elsene,Ixelles
21009,VROUW,38711,5655,44366,Elsene,Ixelles
21010,TOTAL,44725,7811,52536,Jette,Jette
21010,MAN,22199,3013,25212,Jette,Jette
21010,VROUW,22526,4798,27324,Jette,Jette
21011,TOTAL,19428,2562,21990,Koekelberg,Koekelberg
21011,MAN,9878,1061,10939,Koekelberg,Koekelberg
21011,VROUW,9550,1501,11051,Koekelberg,Koekelberg
21012,TOTAL,86099,11363,97462,Sint-Jans-Molenbeek,Molenbeek-Saint-Jean
21012,MAN,43975,4743,48718,Sint-Jans-Molenbeek,Molenbeek-Saint-Jean
21012,VROUW,42124,6620,48744,Sint-Jans-Molenbeek,Molenbeek-Saint-Jean
21013,TOTAL,45596,4671,50267,Sint-Gillis,Saint-Gilles
21013,MAN,23175,2046,25221,Sint-Gillis,Saint-Gilles
21013,VROUW,22421,2625,25046,Sint-Gillis,Saint-Gilles
21014,TOTAL,25162,2295,27457,Sint-Joost-ten-Node,Saint-Josse-ten-Noode
21014,MAN,13261,1018,14279,Sint-Joost-ten-Node,Saint-Josse-ten-Noode
21014,VROUW,11901,1277,13178,Sint-Joost-ten-Node,Saint-Josse-ten-Noode
21015,TOTAL,120274,13035,133309,Schaarbeek,Schaerbeek
21015,MAN,60968,5499,66467,Schaarbeek,Schaerbeek
21015,VROUW,59306,7536,66842,Schaarbeek,Schaerbeek
21016,TOTAL,67102,15922,83024,Ukkel,Uccle
